0_age_at_initial_pathologic_diagnosis,1_ACSM3.6296,1_ADAMTSL5.339366,1_ALPK3.57538,1_ARHGDIB.397,1_BANF2.140836,1_C1QTNF4.114900,1_C22orf28.51493,1_C3orf30.152405,1_CCDC129.223075,1_CDKN2BAS.100048912,1_DAB2IP.153090,1_DERL2.51009,1_EFHB.151651,1_FAM190B.54462,1_FAM66C.440078,1_FLJ36000.284124,1_FLVCR2.55640,1_GCKR.2646,1_GPR1.2825,1_GTPBP4.23560,1_HLA.DMB.3109,1_HNRPDL.9987,1_MAP1LC3C.440738,1_MFAP4.4239,1_MRPL38.64978,1_MTMR1.8776,1_NLRP12.91662,1_OR1J4.26219,1_OSR2.116039,1_PARN.5073,1_PLB1.151056,1_PPP3R2.5535,1_PRDX6.9588,1_PSMC2.5701,1_PSPC1.55269,1_PYCR1.5831,1_RGN.9104,1_RNF5P1.286140,1_RPL39L.116832,1_SEC61A1.29927,1_SFTPD.6441,1_SIX6.4990,1_SLC5A12.159963,1_SNAI2.6591,1_SORBS1.10580,1_SPIN2B.474343,1_SPTY2D1.144108,1_TEX101.83639,1_TLX1NB.100038246,1_TRAF5.7188,1_WDR24.84219,1_WEE1.7465,1_ZNF530.348327,1_ZNF648.127665
0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
