0_age_at_initial_pathologic_diagnosis,1_hsa.let.7g.5p,1_hsa.miR.26a.5p,2_ANXA6.309,2_ARL14.80117,2_ATP9A.10079,2_BDH1.622,2_C1orf103.55791,2_CDH23.64072,2_CSNK2B.1460,2_CYLC1.1538,2_EFHB.151651,2_EVC.2121,2_FAM66C.440078,2_FAM91A1.157769,2_FOXB1.27023,2_FZD7.8324,2_GSTA1.2938,2_HGSNAT.138050,2_HILS1.373861,2_HIST2H3D.653604,2_HOXC9.3225,2_IL13RA1.3597,2_IQCK.124152,2_KLHL9.55958,2_KLK1.3816,2_LECT1.11061,2_LOC100132288.100132288,2_LOC441294.441294,2_LOC650368.650368,2_LSM1.27257,2_NDUFB11.54539,2_NMB.4828,2_OSR2.116039,2_PAMR1.25891,2_PBXIP1.57326,2_PPP2R2D.55844,2_PTGFRN.5738,2_RAB3IL1.5866,2_RAD18.56852,2_RBM23.55147,2_RCAN3.11123,2_RGPD4.285190,2_RNF113B.140432,2_SEC24C.9632,2_SEC24D.9871,2_SLC15A2.6565,2_SLC2A10.81031,2_SNAPC2.6618,2_SNHG7.84973,2_SNTG2.54221,2_TARSL2.123283,2_TBCC.6903,2_TBX1.6899,2_TLE1.7088,2_UNG.7374,2_WFIKKN2.124857,2_YLPM1.56252,2_ZNF630.57232,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
